Scientific Name,TBL_cm,Fang_mm,Yield_mg,IV_mgkg,kill_mice,SC_mgkg,killSC_mice,IP_mgkg,killIP_mice,IM_mgkg,killIM_mice
Micrurus frontalis ,164,,30,0.75,"2,000",2.04,735,0.2,"7,500",,
Bothrops alternatus ,200,,100,0.75,"6,667",12.85,389,2.24,"2,232",,
Vipera latastei ,76,,26,0.755,"1,722",,,,,,
Vipera aspis ,90,,10,0.78,641,1,500,,,,
Trimeresurus stejnegeri ,112,,,0.8,,,,,,,
Agkistrodon bilineatus ,141,12 ,688,0.8,"43,000",19.2,"1,792",1.155,"29,784",,
Echis ocellatus ,65,,24.8,0.804,"1,542",,,,,,
Bothrops jararaca ,240,,70,0.835,"4,192",4.32,810,1.63,"2,147",,
Echis pyramidum ,85,,,0.84,,,,,,,
Dendroaspis jamesoni ,265,8 ,120,0.84,"7,143",1.02,"5,882",0.26,"23,077",,
Hypnale hypnale ,60,,20,0.9,"1,111",,,6,167,13.7,73
Lachesis muta ,360,35 ,411,0.9,"22,833",6,"3,425",6.2,"3,315",,
Bothrops leucurus ,195,,,0.915,,,,4.28,,,
Crotalus atrox ,234,16 ,1145,0.92,"62,228",7.8,"7,340",0.72,"79,514",19.04,"3,007"
Crotalus pricei ,66,,8,0.95,421,11.39,35,,,,
Crotalus viridis ,160,8.40 ,390,1.01,"19,307",5.5,"3,545",0.38,"51,316",3,"6,500"
Bitis nasicornis ,150,15 ,353,1.056,"16,714",,,,,8.6,"2,052"
Micrurus dumerilii ,95,,,1.075,,,,0.7,,,
Bitis caudalis ,52,,85,1.111,"3,825",,,0.18,"23,611",,
Gloydius ussuriensis ,70,,,1.139,,,,0.625,,,
Hemachatus haemachatus ,150,,120,1.15,"5,217",1,"6,000",1.6,"3,750",,
Naja mossambica ,154,,656,1.16,"28,276",,,0.083,"395,181",,
Macrovipera schweizeri ,100,,,1.175,,,,,,,
Bothrops asper ,305,25 ,1530,1.175,"65,106",,,0.469,"163,113",,
Gloydius blomhoffii ,91,,7,1.32,265,18.29,19,1.32,265,,
Bothrops diporus ,120,,,1.33,,,,6.41,,,
Crotalus adamanteus ,251,25 ,848,1.333,"31,808",7.7,"5,506",1.67,"25,389",28,"1,514"
Bothrops atrox ,180,,200,1.4,"7,143",22.14,452,4,"2,500",,
Atropoides picadoi ,120,,70,1.419,"2,467",,,0.375,"9,333",,
Naja katiensis ,107,,100,1.42,"3,521",,,,,,
Trimeresurus popeiorum ,98,7 ,,1.45,,,,,,,
Trimeresurus labialis ,65,,,1.497,,,,,,,
Protobothrops mucrosquamatus ,150,,,1.5,,8.6,,2.815,,,
Bothrops taeniatus ,175,,,1.55,,,,3.585,,,
Bitis parviocula ,75,,,1.56,,,,,,,
Bothriechis schlegelii ,90,,20,1.6,625,,,0.531,"1,883",,
Crotalus willardi ,80,,,1.61,,,,12,,,
Crotalus horridus ,190,,229,1.644,"6,965",2.25,"5,089",0.225,"50,889",0.006,"1,908,333"
Trimeresurus gramineus ,120,7 ,,1.645,,4,,,,,
Bothrops erythromelas ,85,,,1.8,,,,3.03,,,
Micrurus multifasciatus ,113,,,1.875,,,,0.238,,,
Naja annulifera ,245,,,1.98,,1.75,,0.16,,,
Gloydius brevicaudus ,75,,,2.044,,,,0.875,,,
Myrrophis chinensis ,83,,,2.05,,,,,,,
Trimeresurus erythrurus ,140,,,2.1,,,,,,,
Crotalus ruber ,183,,707,2.17,"16,290",9.92,"3,564",3.9,"9,064",9.2,"3,842"
Atractaspis dahomeyensis ,57,,3.4,2.24,76,,,,,,
Agkistrodon piscivorus ,189,,170,2.25,"3,778",2.044,"4,159",0.18,"47,222",,
Crotalus ravus ,72,,,2.4,,11.25,,,,,
Atropoides nummifer ,76,,60,2.4,"1,250",,,,,,
Bothrops matogrossensis ,130,,,2.45,,,,4.475,,,
Bothrops caribbaeus ,213,,,2.5,,,,,,,
Protobothrops flavoviridis ,300,,353.8,2.5,"7,076",4.3,"4,114",0.572,"30,927",7.5,"2,359"
Crotalus cerastes ,82,,80,2.6,"1,538",5.5,727,2.08,"1,923",,
Crotalus molossus ,140,,540,2.63,"10,266",,,2.35,"11,489",8.36,"3,230"
Agkistrodon contortrix ,135,7.20 ,75,2.711,"1,383",0.6,"6,250",0.22,"17,045",0.024,"156,250"
Spalerosophis diadema ,200,,,2.75,,,,,,,
Sistrurus miliarius ,80,,35,2.8,625,24.25,72,5,350,,
Calloselasma rhodostoma ,120,,60,2.82,"1,064",16.1,186,0.88,"3,409",,
Cerrophidion sasai ,71,,,3.6666,,,,,,,
Protobothrops elegans ,120,,,3.8,,,,,,,
Ovophis okinavensis ,120,,,3.83,,,,15,,,
Bothriechis nigroviridis ,94,,,4.438,,,,0.875,,,
Porthidium nasutum ,60,,25,4.6,272,,,0.438,"2,854",,
Cerrophidion godmani ,82,,20,4.75,211,,,0.375,"2,667",,
Boiga dendrophila ,250,,12.5,4.85,129,,,3.3,189,,
Bothriechis lateralis ,100,,20,5.144,194,,,0.644,"1,553",,
Crotalus pusillus ,70,,,5.35,,15,,,,,
Atropoides mexicanus ,98,,,5.656,,,,1.063,,,
Malpolon monspessulanus ,207,3.80 ,,6.5,,,,,,,
Porthidium ophryomegas ,80,,20,6.813,147,,,0.719,"1,391",,
Subsessor bocourti ,123,,,7.3,,,,,,,
Protobothrops tokarensis ,150,,,7.5,,,,,,,
Trimeresurus macrops ,75,,,8.75,,,,,,,
Bothrops lanceolatus ,298,,,10,,,,,,,
Causus rhombeatus ,101,,300,10.278,"1,459",,,,,,
Crotalus basiliscus ,205,,297,11.1,"1,338",2.78,"5,342",,,,
Homalopsis buccata ,140,,,14.3,,,,,,,
Natrix tessellata ,150,,,25,,,,,,,
